"","n","t","j","ASC_1","ASC_2","ASC_3","ASC_4","ASC_5","ASC_6","ASC_7","ASC_8","ASC_10","ASC_11","ASC_12","ASC_13","ASC_14","ASC_15","ASC_16","ASC_17","ASC_18","ASC_19","ASC_20","Price"
"20273",813,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"20274",813,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20275",813,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20276",813,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.65
"20277",813,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"20278",813,8,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.79
"20279",813,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.29
"20280",813,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"20281",813,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20282",813,9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20283",813,9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29
"20284",813,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.29
"20285",813,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
"20286",813,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11
"20287",814,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20288",814,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19
"20289",814,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20290",814,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20291",814,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20292",814,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20293",814,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20294",814,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20295",814,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20296",814,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20297",814,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59
"20298",814,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20299",814,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20300",814,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.59
"20301",814,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.59
"20302",814,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.29
"20303",814,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20304",814,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"20305",814,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20306",814,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20307",814,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20308",814,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20309",814,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20310",814,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20311",814,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20312",814,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20313",814,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
"20314",814,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20315",814,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20316",814,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20317",814,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20318",814,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20319",814,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
