"","n","alpha_ASC_1","alpha_ASC_2","alpha_ASC_3","alpha_ASC_4","alpha_ASC_5","alpha_ASC_6","alpha_ASC_7","alpha_ASC_8","alpha_ASC_10","alpha_ASC_11","alpha_ASC_12","alpha_ASC_13","alpha_ASC_14","alpha_ASC_15","alpha_ASC_16","alpha_ASC_17","alpha_ASC_18","alpha_ASC_19","alpha_ASC_20","beta_Price"
"11",11,-1.38916060516859,-4.52652353765947,-2.47490835724082,-4.66292678743739,-4.42830857602369,-3.46755676380126,-3.70505119569466,-3.7100029192747,-2.40364464376349,-1.77132404125537,-0.601633500134981,-0.685749690850284,1.14452824450443,-1.62784116932823,-2.73517026967766,-0.472044721593143,1.26916460987343,2.10254956167579,1.15179804875219,-3.28174186009449
"12",12,-3.91319291573168,-4.40596459316262,0.922218446718167,-5.56092674015393,-5.63423834253106,-2.87454822309332,-4.30525546551192,-2.3526634078972,-2.67882856924797,0.19313917482585,0.867926553554585,-1.55399762893504,-1.10930700180417,0.642152932711487,-3.44768070707621,-0.989594850159805,1.14973618448158,1.91304611585741,2.44342554099769,-4.43471314898751
"13",13,-4.28935714307979,0.0492318379587391,-0.694623516241156,-0.696002747240982,-0.591803941001323,0.724140805248388,2.016422360516,1.17252973773133,-2.82983679006763,0.386009792443917,-0.87415026081867,-2.07228771723489,-1.76549004319035,-2.33218870933212,-3.27144737382645,2.15649728037008,-2.40035929416502,2.82014232328004,3.00489400390957,-5.06134610149953
"14",14,-4.81685339104267,-3.63048736321503,-2.86261272926883,-5.11971407911681,-4.69390451244397,-2.257378877452,-2.00154658374676,-2.81229095841201,-3.33341093690287,-0.807942621150627,0.454482500170752,-1.13647793086773,1.84673350812626,-0.672871743671019,-3.04242008351943,-0.471605197014327,-0.705103364532553,2.10498697309695,1.72641958583949,-4.39054689737452
"15",15,-3.60482110672626,0.361857846233588,-0.374199639237581,0.577633688486581,-2.73299497891646,-0.986393404974212,-1.04089124444302,-0.865974738219475,-2.44646941629831,0.217227273310365,-0.367838718984005,-1.55379334004496,-0.362028415426103,-2.04202176889851,-1.6198468909154,0.355827435313651,-2.52339149469925,2.09759711874562,3.63237076858037,-4.13881309990782
"16",16,-1.16712951812079,2.71866568486815,0.276562335024613,1.23810319270246,-0.0594798224968536,0.522570591499097,1.82554851040988,0.781098462774516,-1.74344468123164,0.143923034748703,-1.27164623054964,-2.11301211536844,-1.73439409112631,-1.66039223648122,-1.74439271631146,4.35589316977712,-2.2897393694032,1.95599442867568,2.13029851991541,-1.96990100976003
"17",17,-2.94962768033439,-3.09818558687954,2.39874362711795,-3.26025357331447,-3.02233224568101,-0.770107309096409,-1.51104316358246,-0.760611928371561,-2.83355679180341,0.0790469363968552,0.164817411753305,-1.68822909547354,-1.07164443868456,-0.577394925594006,-3.62903473786985,0.755738748764512,-1.46562616897463,2.27950999835634,2.48031299068271,-3.98178935062061
"18",18,-3.62075305023236,-2.80564626872861,0.425351229236338,-3.44593415334804,-3.65203415518298,-1.38108462007701,-1.70056430424806,-2.5300199852765,-2.65226419630973,0.0565707630346395,0.114427308203704,-0.745518893291368,-1.17669366281703,-1.27535358615987,-3.46027781773775,0.507212725655797,0.267119543706594,2.53523376355108,2.76763605185407,-4.56956939214519
"19",19,-3.00283206911516,0.353666260426884,-2.54737507161302,0.458334931554477,-3.03435806061558,-0.855317232121344,0.042125161326234,-1.25525584321051,-1.49292261129422,-0.754039953857271,-0.423929739359226,-1.50210147973735,-0.402384902156895,-2.87488353582373,-2.13202963639905,1.18420822767183,-0.501774832290229,3.0111193903617,2.85701434982836,-4.18061214933486
"20",20,-3.03066472458295,0.438459287413994,-0.035080619279866,-0.682784339331268,0.2031788856575,0.208425565728701,1.93613522262483,0.770058176175583,-2.5824680407459,0.454349627118995,-1.82210925711161,-1.69660862556546,-0.860805737863715,-1.67130207404335,-2.26518732246848,3.06634770040186,-1.33718502309855,3.05368813809418,2.50120609560941,-3.96623847591684
"21",21,-4.52148870467608,-2.60637376720648,-1.25387823190545,-3.20135375012106,-3.88841788514017,-2.34252626982143,-1.17325494364536,-1.25423382221607,-2.38106855402062,-0.432468676186263,-0.325394486261063,-0.864843217932064,-0.392107391828461,-1.35957381676453,-2.61958100204228,0.132129223096774,0.110951715562261,2.94323388950829,2.07884499645075,-5.52139494821108
"22",22,-1.62846625326646,3.69259516671032,0.714431886177767,2.85977260146228,0.758349147124725,0.981982282094713,2.78484230020439,1.77011005244872,-1.89512712410782,0.413107191228223,-1.26478447971433,-2.50580028705488,-1.47510545667283,-2.20989347457738,-2.03809018651427,4.05154680767202,-2.61880024432337,2.67582576556723,2.59897867014863,-3.39691919424093
"23",23,-3.43207950116499,0.582531974134873,-0.498955386863595,-1.25421422769747,-1.88783113806882,-0.915212807888336,-0.295175689426677,-0.864030565814268,-2.15324154233273,0.0364860800339691,-0.274030229396425,-1.12988548586292,-0.857940799863637,-1.24254064826215,-2.41980789384712,1.78997532550793,-0.73910239431994,2.30710547752498,1.98141953744972,-2.91735632253964
"24",24,-3.72696894478887,-1.38854960225002,1.42964972686162,-0.704517512969716,0.745909803840472,0.478525070293044,2.1659433847232,1.43510474536407,-3.46007861509163,0.411675866808616,-0.0247631491920154,-2.07897064875164,-1.46361744816625,-1.61762924059078,-4.27813851841522,2.17375076991309,-1.76709598516089,3.64630419884414,2.84267372974366,-5.58263856459045
"25",25,-3.04327755863678,-0.906384267430899,0.127296934059826,-2.6623076398575,-3.37245643529098,-1.81509634074375,-2.08662872192093,-2.31773202938915,-2.18014921948475,2.96611409067918,-0.645120415540378,-1.3331577948404,-0.612124084708192,-0.114629649485406,-3.32559337983485,1.62363337152419,-0.240442215274977,1.69911139564608,2.00456884507342,-3.81031115480414
"26",26,-3.98277915674773,-2.71361551003736,-0.320311912096989,-3.51489050451063,-4.95367334115397,-1.85026143191434,-2.6582651957667,-2.75175010723207,-2.09489892005596,0.242681474697661,0.103102950681931,-1.44176155383837,-0.233369558062983,-1.291783083094,-3.35894836538797,0.0854653973569754,0.576135887340969,1.52491790555139,1.63241692712159,-4.99017883637543
"27",27,-4.32426660226075,-4.02363212683791,0.573184097372064,-4.20618705801865,-5.28959490500072,-2.66392832695338,-3.64693623893658,-1.69696359052165,-3.0944642150644,0.703916900705458,0.784004527048044,-1.07303141483649,0.27760381146614,-1.19572441787983,-3.61319348632916,-0.632310409284254,0.664479356606011,3.33699471126408,3.0487901830416,-4.40457877979278
"28",28,-3.16760624930549,-1.39113221862435,-0.57665039586771,-1.50699760341903,-1.54190430791052,0.251634865780936,2.13617432165946,-0.609761919298144,-2.31486116808016,-0.484403537152212,0.102988232832205,-1.58374384014855,-0.73982588123799,-1.4183305623785,-3.15288399831286,2.78134022969394,-1.8503921239315,1.76298632673369,2.67465957372802,-4.1858904729015
